youtube_video_id,comment_text
qLGhrmntLqU,GAME OVER MAN
Rl8pTF4f3Jg,Just recently watched this awesome movie for the first time and I love it. One of my favorite movies now.
U1fu_sA7XhE,I remember I watched this as a child and it was amazing! 😅
DqtjHWlM4lQ,"for the first 30min, I thought this movie is the best crime movie,but after they arrive at TITTY TWISTER, what the hell of this??😂😂 its crazy but still enjoy it"
oIb4KbnMQ38,"Watched this without knowing it's a horror survival movie. The first half already was great and then I was really surprised and confused when the chick turned into a vampire :D
Great movie! Sad the crazy brother died halfway through."
KUd3gwaf0KQ,SkeTchy. if Project Church ever had a club at night... Dusk till dawn would be it.
OjWu8i6eMZo,Worst movie ever. First its something similar to pulp fiction and then it becomes childish bullshit
G_XRqJV2zdk,"I feel like I just watched 2 films in a movies, one crime, one horror!"
RzYWKWtRmzQ,excellent vampire flick
yaQeVnN6pUc,eizaaaaaa González
TJ7XTi9S_Ag,"""Come on in pussy lovers!"""
7uQm7SOJymg,George Clooney and his brother is a bad ass
sr7svnup0Dk,"This movie was more dramatic & scarier when I watched it as a youth, now not so much.. Not as thrilling but still some good scenes"
M8Ke-xzfzQ8,Great trailer and movie!
EiATQ04pH14,*Great movie - kill the satanic cock suckers*
TRQJ-HcOd9s,"I don't care what any body says.. this movie will always remind me of being a little kid, watching it and being too scared to walk down the dark hallways of my house!! Love it!!! Sexy vampire chicks too!!"
-Uyx6HhfDOc,The movie was horrible 90% mierda
5vsANcS4Ml8,"If you like vampires check this new story out...
http://www.amazon.co.uk/Mina-Harker-Vampire-Louise-Lake-ebook/dp/B00KU9WLHQ/ref=sr_1_1?s=digital-text&ie=UTF8&qid=1402217977&sr=1-1&keywords=louise+lake 

http://louiselake.blogspot.com﻿"
5Sg2RkdkSvk,I'm gonna go out on a limb here and say this movie was 80% shit.
46HQAq2te-M,The thing is they filmed this movie in a way were the audience just about forgets that it's a vampire movie in the first thirty minutes.  I thought it was brilliant.  I think they shouldn't have even advertised it as a vampire movie.  THAT would have thrown the audience for a loop. 
vtfwgaHD5_w,trailer basically gives the whole movie away
d9TFEXgD6go,Sin City? You don't like Sin City? That movie is a fucking master piece. 
4RBXypX4qWI,this is the only Robert Rodriguez movie i really like and it's probably because Tarantino wrote it
P2segbP94SE,all I want is the clip of him saying kill um kill um all but I guess it doesnt EXIST!
F95VjML_PHI,Does any one know we're the actual movie is
UxUTTrU6PA4,here for GEORGE CLOONEY
Q399v-pMG30,@g3rgu Well it is great music!
ITlM041DW1U,"@EvilDeadFan1995 there was a time, when trailers used this track aaall the time, and cus' this is/plays tribute to cheap exploitation stuff, they decided to use it as well. so it's like an artistic touch. : )"
2nlkEY-3CMI,That music is from Aliens.
0cOrwS3Xihw,"Wow, the English translation really toned down the vulgarity of what is said at 0:36. ""Klaar voor de dek"", that refers to taking a cow to get bred by a bull for the first time."
pZ3CQ-wtX_A,One of the best films.
-bAWWmLfkWo,This is my #1 best movie everrrrrr 💓
9BAcWCi4c0A,And i fed enough with all of devil's masterpiece!!!!!!!!!!!!!!!!!!
NSiAsQMBSRA,"Damn movie all of this movie contains many damn junk... I hate all antichrist movies including this cursed movie whose hate God The Almighty and His Holy Church!!!!!!!!!!!!!!!!!!!!!!!!! Only discreted  Christianity with Bully, Swindler, and Dis respect, Dishonor, Disloyalty, by their empty philosophy such as totalianism, liberalism, modernism, feminism, socialism, universalism...."
QDfs0SIvXqo,"Best BEST Movie ever! After the first 10 minutes I didn’t even realize I had to read the English dialogue on the bottom. It was sad, happy, just a wonderful wonderful movie❤️"
vSXUgkCjdBM,Named my daughter after this movie in 2004
EiATQ04pH14,My name's antonia LOL
d6bjW9OwSQc,Está película es una de las mejores películas que he visto en mi vida ❤️
W_KruQhfvW4,Que gran película ❤️
zPYuV_jGk7M,I identify with the priest as he divests himself of priestly robes and runs through town dancing and hanging from church bell ropes. I love the Crooked Finger character and his depth of observations of life challenge my churchianity and make me want to understand philosophers like him or live and die trying.
ReIJ1lbL-Q8,This one of the best movies 🎥 I've ever seen in my life ♥
2GfZl4kuVNI,That Really good sense ❤️❤️💕💕💕😍
ptrnB3vMt5A,I loved this film in 1996. Today rewatched and realised I had misremembered bits but I still love the quirky characters the humour and compassion.
2WGq2Rbs1Qg,this is a beautiful film
O4HrGa2-RLc,"My first ""arthouse"" movie I went to see on my own when my local old small town cinema changed ownership from a bored purveyor of blockbusters 3 or 4 weeks after everyone had seen them in the nearest big town to someone who mixed commercial movies with foreign and arthouse movies, for a few years. I had ticket 001 for Antonia's Line, the first film screened under new management."
CvsAuHYBgEQ,"La recomiendo totalmente, es de las mejores películas que he visto. Vale la pena verla varias veces."
GJ6-ymSjShg,My favorite movie of all time
UwkAOHd8WRU,Antonia reminds me so much of my mother and how she would take things into her own hands. Both beautiful stoic women.
6Y28HLt-fEg,"Quietly, one of the best movies ever made."
gWew8lWYhtI,En daar eidere straat een stad is.
701GQjY6PaI,Beautiful film. I want to learn dutch
Jz_P43jHN6w,"This is such a beautiful film, I'm lol at this trailer, it's so shockingly horrible."
kEGZzvF6XVA,Great costumes
iZhqklQMcjA,I'll save you time - she's boinking her brother.
Xk_LRcOFT0c,"My father knew the parents of Kristin Scott Thomas, at least he participated in the inquest of her father Simon Scott Thomas in 1964, who was killed, flying in a Sea Vixen when Dad was in the Fleet Air Arm of the RN"
YbNp99EnCjI,Beaultiful Aways forever Aways forever Aways freedon Forever Aways forever Machine time Beaultiful Aways forever Aways
i3J6ACKQ7K0,I lost all my belongings in the shipwreck ..
DoFvMW9yfi8,Wow what a trashy trailer.
ZDIJiAPhfEc,This is a great film but this trailer is TRASH
_Q6KGpmhAn4,"Boy, do the narrator sell it like it was an action film, lel"
MhTg98WzH5U,My teacher is in this
yRj2FKLsQbU,i think this small unknown underrated film by whoever martin scorsese is will become a classic in the future in god knows how long. take that into consideration y'all. that robert de niro guy can really act...
C1no75lpOiw,why this movie did not win best picture is beyond me. this film unless others in the same category have stood the test of time. it is a masterpiece. a movie we still talk about today. unlike ordinary people.
UtZGtIc1uQk,Back when the whole movie wasnt ruined in the trailer
OsOi17HJZ5k,Imagine if this was in B&W!
ORI2PFOePYM,This trailer is interesting due to the use of unused scenes from the film
S-nDX0BeFoQ,"Best movie ever, the movie really teach me about modern loneliness infects the body like a virus, and self-persuasion ultimately acts as one's life support. I really highly recomended this film."
Bm-0UrCCFyo,Young Robert De Niro kinda looks like Sharlto Copley.
FItgZOuaPVY,On which platform i can watch it?
Ps8UFQ69h1c,Taxi Driver: the movie that is going to ask you: What are you going to do about society on these days?
6sOXrY5yV4g,Literally me
ORI2PFOePYM,Even the trailers back then were LIT and didn't give a ton away
FCjlubLJcxk,One of the 5 objective best movies ever
bNRJsanqOCE,"This is a man that’s been abused by the beginning age of the histrionic era. Like he doesn’t exist being shat on and stepped on like a door mat. He probably lost his cool and killed a few people lol. Let’s see, gonna watch it now. 46 years later"
VU4-kmV9O2M,The film that Jodie Foster’s name on the top of the call sheet which lead her to her first Oscar award of The Accused
40hHA9n4C2o,"1) god, trailers SUCKED back then
2) omg lookit Jodie Foster, she looks like a baby, so cute"
QF3btTryoPo,Boring movie and very slow dont waste ur time like.i.did
xFCtD18fFng,To be remade under a new name: The Uber Driver
Odb3LrbvS_0,Kapan main di 21? 😃❤️🙏
a03XaApFiz4,What's the name of the Man of the voice Over in the trailer?
8CD9ksgofU0,:)
CHekzSiZjrY,Why he invited her to bad movie😂 otherwise life is green for him😂
isr7ENiGkao,Taxi driver > scorsese's other films
mFfXqzd7PlI,"Фильм вышел за два года до моего рождения. И уже тогда Америка была помойкой,набитой похотливыми уродами."
t2d89afgtqg,he's literally me
,I love this movie and I’m 14! This movie always seem similar to rolling thunder (1977). A veteran who in the end has an epic shootout with gangsters.
gG22XNhtnoY,He's not getting organized. He's getting organ-a-zized!
Oa2VdDbE6lI,"This feels nostalgic, I feel like this movie finna be great because of young artists like deniro. Glad they were able to film this before pandemic"
_QkUJtt61ps,One of the best films of all time.
T6rRqZTVqP4,Nice reverse aging like Benjamin button
GpnoKlV41dU,"a master piece advertisement also, tells you exactly what you are going to see, prepare you to understand the depth of this master piece movie, thanks Martin Scorsese for taking cinema to this level"
O8HNlhVbGzY,♾️🥂
1nKjO9QCSic,"Just like what he did for Hitchcock's Psycho 15 years earlier, 
Bernard Herrmann did the same for Taxi Driver.
Impossible to see this film without the music."
UN9lpOEqg04,Яндекс?
5nSlJSfnkWc,"The preview was very wierd. The guy was not what I expected. I thought it would be like a Jean-Claude Van Damme film. Something like a young man that gets attacked by criminal gangs and has to start to defend himself. Maybe flash a firearm to scare away a thug. You can definitely sense there is a clear delusion of vigilantism. That's where it takes a turn from self-defense, into kind of mindset of actively seeking violence as a vigilante. No batman at all. Considering that Robert De Niro is so far left and anti-gun, he would have loved to chance to present a right-wing guy as a total nutcase. Nothing could be further from the truth in the right wing we try to avoid any and all conflict until the very last second."
DWLFW9iAr-E,0:46-1:00 I don't recall this dialogue in the movie at all.
adYGUai7PNc,"I just saw it good movie,"
i63VGK1ElN0,"This movie feels dated watching now in 2023, although love the cinematography and color grading."
x3W4bBk63MU,Just watched this. As good as I’d been told. Fascinating to see the trailer from the time of its release.
hkSJGkgql3M,"Travis, we need you now more than ever. It hasn’t rained in years."
duTNQE0NnlI,literally me
nsKdR05ZsGE,De Niro younger version is similar to multiple actors like Christian Bale Ranbir Kapoor n even Messi 😄
uUK79LRP-Nc,barik ku
V4nDMM5Jjws,Smoke and mirrors
-WaJA7mVk28,"They kind of present it as a horror movie, whereas the movie really leaves itself up for interpretation. It sort of is a horror movie on what can happen to you if you're in a world you just are not able to socialize and love despite all your attempts, and the world's utter indifference to that until you take back some of your power."
48-M7MfrYMc,Whatever 🙃
OxLQZVmKWEo,Robert De Niro at this age is relatable. And thats whats scary
r4fIOWINnHk,This movie gonna be fire when it comes out
-7-JVbUtyoI,Hey that’s Robert De Niro and Peter Boyle who played Frankenstein’s Monster 👹 in Merry Shelley’s Frankenstein (1994 Movie) and Young Frankenstein (1974 movie) but there’s Jodie Foster from The silence of the lambs (1991 Movie)!
NnqNzGt9BiQ,Can't wait for this to come out
-YAhpfcdx0U,So exited for this movie
15g12dGxWX4,"Despite having watched the movie, the trailer still gives me chills."
fQe1Kehx110,Cuando es el estreno
K9wYgL-Mglw,"feels like cheap knockoff , if you never seen him so young xDD"
J9Bd4ShuEAw,"Albert Brooks was miscast, a forgettable performance."
steA_PZPkc8,"First time watching: its overrated
2nd time : its ok 
3rd time : its so good 
5th time: never seen anything like this before"
i63VGK1ElN0,"Жан Рено мерси! :"")"
Vsmt4B35hsM,Cant wait
JC-ykURLzSg,I got tht same haircut
XYZTkDr3C-s,you dont need a trailer to sell this
BmSBtOHzGPM,Stupid movie
gVFEVXIyu00,One of the most overrated movies of all time it's very boring I don't care if it's a cult classic or whatever movie snobs want to call it it was GARBAGE
Yy-TwYB1UQw,The only thing wrong abaut this movie  is Harvey keitel playing the pimp.
GJvKLetIV20,That is my life
A6Ru1zDsws0,"Martin Scorsese was being interviewed on why not making films in the current cinema to which he REPLIED:
THEY DON'T WANT TO MAKE FILMS I WANT TO MAKE!"
OXrcDonY-B8,good movie hello in armenia🇦🇲🇦🇲
WukhbpAhvrc,Questo film cult rappresenta una tra le migliori pellicole della storia del cinema mondiale.
RUgS5ES2qhc,The only movie shows the dark side of America
OuXCatJa9ys,I'm God's lonely man.
xReR33oKcDw,Boring movie
2eEpcETVV3s,"Download not why ? 
İ did not  wach film"
tyq2TbL1OG8,1/10 shitty movie
T8aos7_L4kA,MAX CADY
dM1jktXwcSI,In my opinion this movie is so mid idk why people saying it's masterpiece
WOddX3H8M8E,He was so Handsome in his young days 😍😍😍
Mgjwq1ZzdPQ,Good movie
4xD1ujNkZXs,Good film
R4gn9JZCN-A,Are you talking to me?
0jb87JTGoMg,Sigma 🗿
Up-oN4NtvbM,i am god's lonely man
HX-BHKnj0X0,This trailer is edited so well wtf 🤣
Y9zBb3Q2Kso,One of the best Martin Scorsese films of all time.
Gb5MGWPAiGg,You  talk to me  👀
yAvd8Xhn6iY,Didn't like the movie. He is very slow and boring.
ImjGBHRDW7c,This De Niro guy might be the next DiCaprio.  Scorsese is going to lock this guy down for years.  Watch!
uD4GclR6ZEo,"Worse trailer I ever seen in my life on this earth, ima gonna still watch it tho cause I bought it, I know it’s possible to be good."
leDD6Y-Nyqg,I'm bored.
40bOBBbjbIQ,"Travis Bickle, that one guy we all can identify with."
KxVyLLHLmz4,Such a hyped movie... But what a garbage!! 🤷🏻‍♂️
vwkCIpLMZBw,I'll just wait till it comes out on vhs.
QgFDIinCeYI,2022 самое время посмотреть трейлер этого фильма)))
pMnEbfzllso,Does anyone know when this hits the boxoffice?
3Q2GtjZ0RIY,"Boring movie , wasted time !"
3B7HG8_xbDw,Perfect movie for sleep ZZZ 😴
EisokUNMfeA,Happy 45 Years Of Taxi Driver 1976-2021
I3Mx8OSlNYM,Kero dublado portuges
DbP7Ptyr1sA,"It is Now 2022 ! and I just watched. The 1976 movie Taxi Driver and just realized that This is The Real Robert DeNiro and he wasn’t just playing a Part ! The Man is a Ticking time Bomb !   Almost All his Movie Rolls He played a Psycho ! A Gangster ! A Foul mouthed Crude Human ! And in in I think it was from anywhere of 2019 to 2020 he ranted and Raved about Trump ! 
And This movie was the Real DeNiro to me ! 
This Movie was Horrible It made NO sense whatsoever ! 
Glad I never wasted my time seeing it in the Movies ! 
Not a Great Scorsese movie ! I actually was impressed more with Jody Foster !"
-qCPMP4mNcQ,He kinda talking to me
zqp-aSPqQYc,Great trailer!
ShBw43KJoLk,"I'll won't pay for ticket for this, I'll wait for the DVD"
0kLAuJIm79o,"This De Niro guy looks good, I hope he makes big."
3euGQ7-brs4,"Of all the trailers that I saw in the 90s, this one sticks in my head till this day."
cG4ONzna2Eg,Nobody f*cks with the chan!
dX4Ik-cyp-I,I love this movie I just watch it on prime. But I forgot how disappointed I was for the ending. They left so many ifs like Nancy brother did he get a new cushion for his chair? What did his uncle say about the store being completely destroy!? Did they rebuild? 😭😂
Ut9GvlhB9f4,"Jackie Chan is and always shall be an artist, an actor, an entertainer and a true professional. Too bad I can't say the same about many of the people he's been Rushed to work with just to get a new movie out by the exact Hour they want.😮"
5PbX4LXD6Es,"Lol the storyline is pretty good and it showed none of it. 😂 That being said, this is my favorite Jackie Chan movie."
GuXwMHF9y1Y,I don't know how many times I've watched it
Sy9HfwyICw4,LOL. The trailer doesn't even care about the movie. It just talks about how awesome Jackie Chan is 😃
FgyCE8VsGKM,"Love how they made The Bronx look like Vancouver. Movies really are magical. 

Those mountains that were seen in the background in some scenes must have been Yonkers."
UEU_HF6TSVo,2022.....wait it's 2023
8uubih798tg,I watched this as a kid and it always stuck with me but I never knew the name! Glad to be able to find it after all these years.
dgC9Q0uhX70,"So this is his first movie from America, so sad. I wish he get their sooner. His hong kong movies was so great."
GBgyVY_ClzQ,Pure entertainer.. Wish he doesn't get it influenced by the Hollywood. His movies was always a hit since 1980s in India.. there are theatre which used to keep Huge cutout of Jakie outside the theatre
Ohws8y572KE,It should be Rumble in Vancouver.
p97ds4ZR7zM,Great movie!
wJK-Djc3AFw,Jackie is why I WILL NEVER WATCH WIRE-FU
WHrWFve2_0c,"""he does all his own stunts""

Who you trying to kid? I've seen very often that Jacky doesn't do ALL his own stunts. Sure he does probably way more stunts than any other actor. But just for example because it's only 2 days since I re-watched Action Hunter I guess. Have a look at that boss fiht st the end when he does his side-spinning kick. It's shows one time in slow motion and one time normal motion. you guys really need to watch a bit closer or more carefully and not just believe anything that anyone tells you."
SOmZ8Zw4SgM,first movie i watched starring jackie chan
ivpFM1hLr9I,The song is from mortal kombat! 😂
o3wJ-jzZqBw,Love this movie ❤️.
BKkq5Iqujuw,"I remember heading into Liverpool city centre to watch this when I was a kid.  It was a complete adventure for me and my friends as we were only young and wouldn't normally head into the city at night but it was only showing at the city centre Odeon!  We were already JC fans but this movie literally blew me away - the fight scenes, the stunts, the humour... it was and still is a masterpiece!  We came out of the theatre and headed to the bus station and I can remember looking nervously down every alleyway for 'gangs' who might chase us on motorbikes ;)  A night I'll never forget... thanks Jackie Chan! :D"
Ri-M79IU3To,This is one of the most awesome trailers ever! 90s were amazing!
JqQWY8T5nok,How could they make every single thing look and sound so cool in the 90s. New line cinema was so fn sick omg
ChXz7yNjt3Y,We need a reboot tony ja should get the role
VfBzeLChAzw,does anyone know  the name of the song played in the dance club scene? some techno stuff
E0HVZHMGXsM,Extraordinary
UcjYD91YW_M,"I wouldn't be Surprised if there was a Model figure of THAT LAMBO With Paint Messed up And Jackie Chan Figure Inside of it With the Saw sticking out !

It's Pop Culture Man !!!"
YfkEQDPlb8g,"YES Mortal Kombat Fever !

Yeah one of my Earliest movies of Jackie Chan"
PA-h3-0wheo,The illest action movie trailer of all time period.
8VOAxzgq42A,"I came here for that instrumental. This is the same instrumental in Mortal Kombat back in the 90s lol
What an EPIC trailer 🔥"
9GOQF17VO24,“Are you ok?”  ... “No!” … and he runs towards the fight anyway.
qYAETtIIClk,HAPPY 25th ANNIVERSARY to the US release of RUMBLE IN THE BRONX!!! 🙂
G98el8kUFJs,Jackie Chan is as much legend as Bruce lee
yRpWaJRyVQo,Ok but wtf is the movie about exactly? Worst trailer ever.
_25RK5GbJIc,"This his best film ever made  and armor of the god part 1,2 r next then procct a then project a 2 r then first strike then police story 1,3 r his best films ever made"
KR7loA_oziY,"Are you okay? NO! ...As I kid I laughed SO hard. It just made sense that it'd hurt, but you'd never really hear someone say it out loud in movies back then."
_ckWTn-y5Rw,"Dating myself here, saw Rumble In the Bronx in the Theatre, when I was 11 years old back in '95. It was and still is one of my favourite action, material arts movies. The stunts were amazing for the time. I had never seen a movie where a guy is being chased by the bad guys and has to jump from a parking parade to an apartment balcony! expect maybe the movie Marathon Man with  Dustin Hoffman (similar idea) two years later Mr.Nice Guy came out another awesome movie that i had wished i had seen in the theatre. The 90's were a great time to still go to the movies, it used to cost me as a kid $5 to go to the movies ha good luck with that now days!"
51JoEE_znyI,My All time favorite movie wonderful superb great. Jacky Chan
9CEdb0sGfaI,"Look up "" Jackie Chan dubbed with streets of rage 2"" - I had a good laugh 🤣"
omOZyLmNMJs,Haha I remember couldn't stop watching this trailer on video cassette
vsKNm5G_KEc,"Movies and actors were amazing back then, now cinema is just a pile of garbage."
KJVKh9KKiug,"I remember renting Jackie Chan movies from Blockbuster back in the early 2000s, I was born in 96. My first movie probably Rush Hour. 2nd was Mr. Nice Guy, Rumble In the Bronx, JC: First Strike, Thunderbolt, RH 2 and 3, Police Story, Enter The Dragon (even tho he was a stunt in one scene). Love his movies"
AxQ9GG6hUDM,"""JACKIE CHAN"".... Cue the Mortal Kombat song."
YdJW2UxvSFQ,well this oughta be a good movie
Tfz9AhPnM8c,when movies where movies man Jackie Chan was the man i will never forget that percussion beat so sick
KGcBqiKL5uI,any 2020´s ?
6SOBXnEY-Cc,This trailer was on the Mortal Kombat VHS.
5PmJj5-DvHs,"Rest in peace, Anita Mui.

You are always remembered."
lwIgPbOXKI0,"0:28 remember that theme from the Mortal Kombat movie?



Hint: Sub-zero's second appearance in the movie (walking down the stairs before freezing the warrior fighter)"
Iwa120o7m7k,Mr Chan I love u too muchh ❤️❤️❤️❤️❤️❤️
zU2FxPsw9Sw,I remember this was one of New Line Cinemas attached trailers that played before Mortal Kombat in theatres. This and then the trailer for National Lampoon's Senior Trip.
0fJh2gIBOto,"One word for this: Chaotic. Mr. Michael Bay, you should watch the film and learn about real action cinema"
J-heIT3L9Qg,Jackie Chan brought new York man twin towers and the south Bronx the heart of new York City where it all started man
lJO0BImGChY,"LOL, this trailer is just ""It's a Jackie Chan action movie"" no hints at all saying what the story might be."
Oo_6Fb5k2lo,0:30 mortal kombat a taste of things to come
j9Mg-GRS46Y,When i first saw this movie. I was a fan and still am till this day
sS-sXcx30O4,This was actually one of my favorite Jackie Chan films this one who am I and first strike
wbvxV2OJQKk,What's that song called at 0:33?
7S5TDrAWBd8,I played in the movie rumble in the Bronx
qDKo8DNpwOw,"Does anyone know the name of the ""drum song"" in this trailer?"
2-KIByGsyaI,"Super, fantastic"
lt4g6xyZW10,Is that Jim Cummings doing the narration?
HEdyshqbUJA,Wow I was like 12 when I watched this and ms doutfire  the 90s
Fjst3TV4pz0,My favorite Jackie Chan movie
XSwpv54VgK8,1st saw this film in 97 at my aunt's house she rented some movies for the night we had rented mortal kombat but this film was placed in the wrong box so we had to watch this film instead and to this day this is my all time fav jackie chan film
cMYTTn4Pzmk,"Hey guys :) if you like Jackie, check out the video I made about him on my channel :)"
dO2LWKpeyI8,Nostalgia meter through the roof
G0i5S__Ns_Y,The Buckethead song from Mortal Kombat???????
kDdwRURSEzI,Anita! RIP angel!
uem9TbvQpFk,생활의달인 나셨슴둥
EkvgSTJkKGI,With the music of Mortal Kombat. :D
E0niI55VeDA,"My personal Top 5 JC movies...
1. Who Am I?
2. Rumble In The Bronx
3. Jackie Chan’s First Strike AKA Police Story 4
4. Super Cop
5. Rush Hour"
hJxvpLrp4yA,I remember I saw this movie during summer of 1996 visiting cousins at a drive in theatre(that was the first time and last time I went to a drive in theatre).
5S8iH1YWIFI,"The movie in which he broke his ankle and then twisted it back and went back to film. This guy....not just in the movies even in real life is to be messed with....

Who the fk dislocates their ankle and twists it back into place and go back to get business done?"
rqlGO7rYhwY,VINTAGE :D
z50PjmZYS4A,Forever a classic. Jackie Chan is the modern day Charlie Chaplin– but for Kung Fu enthusiasts.
firK4y-3bKw,"Rush Hour, Karate Kid, Rumble in the bronx. All my fav movies by Jackie"
ePyhGz9_RCI,Rumble in Vancouver
QPTVLKKgGXw,this was the first jackie Chan movie I watched.  the last one I watched was just as perfect.  the music from the trailer is from the mk soundtrack btw.  I LOVE jackie and the awesomeness he brings.
9ZQE49MjyYQ,best actor..!!!!
iRjSw-4qcgM,My first movie of Jackie Chan. Still my favorite of his.
73ax6ZrcUx4,I remember how this movie made the bronx look like shit
jPU1AYTxwg4,"decades later, this trailer is still so sick and exciting."
8LuxOYIpu-I,I PIERCED THE TOAST!
RAZZJnab5nU,Such a lovely and kind movie that is❤️❤️❤️ Thank you for the trailer!
hUGHWje7liM,One of the funniest movies ever!
oCfuPPR7wnQ,I hear this is Ron Desantis's most hated movie. I hear he watched it once and then declared i will purge all Nathan Lane's characters from my fair state.... and that was the day he entered politics
Z5jvQwwHQNY,"Matthew 10 verse 29 ""Are not two sparrows sold for a farthing? and one of them shall not fall on the ground without your Father.""  That's the bird cage. After the fall, the sparrows are sold."
Fx0QuZJVTFE,Hilarious movie
OcslkrBMLGc,"This is the ultimate ""feel good"" movie that also brings me right back to sense and feeling of the 1990s 👌"
rI_lUHOCcbc,"that is literally a copy of the french movie ""la cage aux folles"" which was released in 1978"
MF7JH_54d8c,"For anyone who speaks from, check out the 1978 La Cage aux Folles. It's truly hilarious and touching."
3a9YU1SVbSE,The only time I've seen Williams upstaged.
ZJBM6qs22sE,This movie is wonderful. Such a great cast! 🐦
77YpsPwlEFQ,I watched this movie for the first time recently and loved it.
ELb4S8P3q20,Cast is STUNNING! I really enjoy humor! Do you know that Robin Williams auditioned for Albert’s role? But he ended up with Arman’s role because he decided to try a kind of more traditional role. The bottom line is Robin was persuasive at every single role
_dY0SVxnHjQ,Love Agador!!!
EhMyp8ZvjWs,This movie is so funny!
6LNQXjKFKwU,"Best film ever made !!!!!!! 👌
God I'd of been over the moon to have had parents like Albert & Armand Goldman."
BpqR6Ca-LL8,"One of the greatest Movies of all TIME! Needs to have an anniversary showing in the Theaters!!!! Bring back Classic Movie nights for seniors: Little Rascals and HoneyMooners, and Honeymooners!!!! Showing AlL in Theaters!! Have  revival; theme nights and special punch nights OJ and 7up! Kitty Cocktails for kids!!!"
IqVoIQ5UsT8,"Classic, good memory, feel good movie. I'm watching it on HBO (do we have to say MAX?) right now. My only problem was the so-called children parts; Albert's son Val is supposed to be 20 but is played by Futterman who's like 30. The Keeley's daughter Barbara is supposed to be 17 but played by Flockhart who's 32? Well, nevertheless it all passed, which is a testament to the Hollywood Maybelline machine. 😎👍"
mqpO6mx8WCE,"Dan Futterman is so handsome! I wish he goes back in front of the camera. He's doing well behind it, though 😀"
-IS-KvD2_Zo,ALL THESE YEARS AND MORE TO COME NO MOVIE CAN MAKE ME LAUGH LIKE THIS VERSION! NATHAN LANE IS JUST AMAZING AND STEALS THE ENTIRE MOV
vjiCO8k6Jhg,"Still one of the funniest movies i ever saw and the French version is hilarious as well, highly recommend checking it"
iLR3gZrU2Xo,Absolutely hilarious . Great ensemble cast. May and Nichols outstanding also.
F25nzu6hh0Q,"It totally and completely fades in comparison to the French original ""La Cage aux Folles""."
gYBDRAp4Or8,Excellent
AzogcorjLOI,Genie and Timon are doing a movie together starred in The Birdcage.
FCjlubLJcxk,Such a great film! Miss him so much!! 😭
tLtQ3bCvBA0,I want a Teen Wolf season 7
8tO1xhgYvUM,"Love you so much, Robin Williams! 🥰"
9RTIQWXzexU,"""the d is silent"""
hZpm1zj9510,It's the shoes. They make me fall down.
JWP_hrNHSN4,We Miss You Robin Williams
HWHH5TwEwtI,"whenever I am feeling totally depressed and all gone, I watch this movie. And it always makes me smile. It really does."
u9YgJjSCT08,So good!
fR6l4D47fW8,"lol ""Get that pinky down!"""
xWPS3-mjkZc,was Bradley Cooper in this movie I'm highly curious
nlXBaP7l5n4,This is my favorite movie of all time!
i0IzV1q9g9Q,Bewildered and betrayed is legitimately how I feel any time my soccer team loses a game.
qRCtqfd9IWQ,"What a movie, one of THE BEST EVER!! Hilarious from start to end!! Each and every character played their role really well. RIP Sir Robin Williams."
r9yyDEDGlr0,"Please look ""La cage aux folles"", the original movie!"
OqVgCfZX-yE,"it makes me recalled 24 years ago, and still one of the best to me"
KhNnU4h1Q50,Coming on 4k ultra HD release may 26
VCFhg6Q6gXU,"*S M E A R*
Oh No I *P I E R C E D   T H E   T O A S T*"
JEoEGW4Hb9w,Now free to watch on YouTube
hkJIcFMN_pc,Ohhhhhh I LOVE this MOVIE!!!!!!! 😍😍😍😍😍😍
XZ8Q9mOYJgE,"me and my hubby always laugh at this film, because they are sooooooooo us.... :D"
r9Q_WESQUVw,this movie and trailer is good and fab and  it a very good movie and when the two family meet and the wedding val gand barber k and when he say papa I am get married to the girl I meet in school and it's a good and fab movie andthis all the movie and trailers are heart warm and a I understand and it's a good and fab too OK and this all wright OK and movies+ trailer too and this all I said OK and it's fine OK and movie+trailer tooAlbert g said don't used that tone to me and armed say what tone and Albert g said that sake Contreras tone it mean you know everything because your a man and I know nothing because I am a woman and armed g say you are not a woman and Albert g say oh you basted and madanna but you keep all in inside and it's a good movie and trailer too ok
g7q1SjVdsNk,who 2019?
7OHg4Ayewao,Yo se donde esta la película en latino escriban pongan su correo eléctronico para enviarles link!!
ofxtDrRVQY4,This movie is wonderful. Such a great cast with so many great lines.
k8bVG8XC-4I,"People are saying that is really funny, is it funnier than the trailer?"
n-K49CUaeto,A perfect cast.
NR1ZHKw09n8,If it weren’t for my Pirin tablets I’d never get through this trailer
B7I6D3mSYTE,One f the best movies ever made supporting lgbtq
0Um2j1iEj1k,This movie is a fabulous when vel say to his papa I am getting married to a girl that he met in school and he asked his papa are you upset papa let me tell you why and Albert g said don't use that tune to me and Armand g saidwhat tune + that sadcake and it's means you know everything because you are a man and I know nothing because I am woman he said you not woman and his partner said you  #####and when two family's meet and Armand said do celebrate of a dance floss and maker +mondanna and mondanna this movie is fabulous and good film too
QSqlvZy339s,I love this movie so much
gjAi5ER5FOU,Men *SMEAR* lol.
aOkKH6-h6wA,Pirin tablets 😂😂😂😂
-2yUd_LqtG8,I saw this movie on Netflix with my parents last night and it was so funny!
HBZ3iVspjd8,I SMEARED THE TOAST!!!! xD
